time_hrs,z_m,theta_smooth_K,U_smooth_m_s,Ri_g,zeta_BD,zeta_G07,C_const_G07,C_coord_G07,fold_ratio,kappa_G07,is_jet_nose
1137600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1137600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1151999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1151999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1166400.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1166400.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1180800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1180800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1195199.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1195199.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1209600.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1209600.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1224000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1224000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1238399.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1238399.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1252800.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1252800.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1267200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1267200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1281599.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1281599.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1296000.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1296000.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1310400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1310400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1324799.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1324799.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1339200.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1339200.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1353600.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1353600.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1367999.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1367999.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1382400.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1382400.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1396800.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1396800.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1411199.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1411199.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1425600.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1425600.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1440000.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1440000.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1454399.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1454399.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1468800.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1468800.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1483200.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1483200.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1497599.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1497599.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1512000.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1512000.096,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1526400.048,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1526400.048,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1540799.976,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
1540799.976,10.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
1555200.096,2.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
